City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,san luis de la loma,17.2706,-100.8939,27.59,85,43,0.32,MX,1693275468
309,benghazi,32.1167,20.0667,29.02,40,0,3.55,LY,1693275354
310,luancheng,37.8792,114.6517,25.09,70,0,1.08,CN,1693275470
311,nyurba,63.2842,118.3319,22.87,43,0,2.18,RU,1693275472
312,maridi,4.9158,29.4742,18.06,95,1,0.86,SS,1693275473
313,tyuratam,45.6507,63.3156,20.39,25,100,11.07,KZ,1693275475
314,quiberon,47.4841,-3.1196,14.55,79,100,5.6,FR,1693275476
315,al miqdadiyah,33.9786,44.9369,31.5,30,0,3.52,IQ,1693275477
316,labuan bajo,-8.4964,119.8877,28.88,53,7,1.63,ID,1693275478
317,kiunga,-6.1219,141.2906,27.03,73,99,1.76,PG,1693275479
318,mogok,22.9167,96.5,21.66,94,100,0.76,MM,1693275481
319,kimbe,-5.5502,150.1429,31.49,58,48,4.92,PG,1693275482
320,nantucket,41.2835,-70.0995,20.57,97,0,3.09,US,1693275483
321,kearney,40.6995,-99.0815,22.95,67,75,1.54,US,1693275300
322,camana,-16.6228,-72.7111,18.17,81,0,3.28,PE,1693275486
323,pangody,65.85,74.4859,12.66,62,45,4.39,RU,1693275488
324,dhidhdhoo,6.8833,73.1,25.67,89,100,7.47,MV,1693275489
325,saint-pierre,-21.3393,55.4781,20.82,73,75,3.09,RE,1693275490
326,dakhla,23.6848,-15.958,20.56,84,0,11.46,EH,1693275492
327,tura,25.5198,90.2201,26.9,79,100,0.48,IN,1693275493
328,teofilo otoni,-17.8575,-41.5053,19.03,96,100,1.1,BR,1693275494
329,carnarvon,-24.8667,113.6333,23.49,41,0,3.62,AU,1693275496
330,kharkhorin,47.1975,102.8238,18.34,59,0,0.84,MN,1693275498
331,tongouson,5.0214,120.1328,28.43,81,100,7.89,PH,1693275499
332,neiafu,-18.65,-173.9833,25.38,61,75,4.63,TO,1693275500
333,prince rupert,54.3161,-130.3201,18.05,85,20,3.09,CA,1693275387
334,redwood falls,44.5394,-95.1169,25.97,57,75,3.6,US,1693275503
335,dalbandin,28.8947,64.4101,28.77,17,0,0.51,PK,1693275504
336,archangelos,36.2149,28.1149,24.99,74,0,5.01,GR,1693275505
337,ukiah,39.1502,-123.2078,29.69,37,0,5.14,US,1693275506
338,faya-largeau,17.9257,19.1043,34.17,37,100,5.17,TD,1693275507
339,pandan,14.0453,124.1694,30.78,68,91,8.28,PH,1693275508
340,patti,31.2808,74.8572,27.03,65,0,2.43,IN,1693275510
341,manati,18.4275,-66.4921,29.82,84,33,2.27,PR,1693275512
342,leh,34.1667,77.5833,11.63,43,3,2.38,IN,1693275513
343,taungdwingyi,20.0167,95.55,26.53,86,100,3.07,MM,1693275514
344,ulsteinvik,62.3432,5.8487,14.86,85,100,1.79,NO,1693275517
345,kodyma,48.0988,29.1246,23.32,38,30,1.75,UA,1693275519
346,acarau,-2.8856,-40.12,25.0,84,0,5.29,BR,1693275520
347,bhimunipatnam,17.8833,83.4333,28.64,65,80,1.67,IN,1693275521
348,lillehammer,61.1146,10.4674,8.58,96,12,1.11,NO,1693275523
349,tramandai,-29.9847,-50.1336,12.21,78,5,5.27,BR,1693275524
350,ducheng,23.2373,111.5317,26.98,75,99,2.11,CN,1693275525
351,road town,18.4167,-64.6167,29.05,84,40,2.06,VG,1693275526
352,sogndal,61.2283,7.1003,9.21,100,90,0.0,NO,1693275528
353,adiake,5.2863,-3.304,23.49,94,100,2.53,CI,1693275530
354,elliot lake,46.3834,-82.6331,13.01,73,100,2.04,CA,1693275531
355,molchanovo,57.5817,83.7692,15.54,94,100,2.89,RU,1693275532
356,binzhou,37.3667,118.0167,25.52,56,0,4.78,CN,1693275534
357,samalut,28.3121,30.7101,26.79,48,0,3.36,EG,1693275536
358,makoua,0.0069,15.6333,21.2,97,100,2.58,CG,1693275537
359,vila do maio,15.1333,-23.2167,27.44,82,96,5.19,CV,1693275538
360,kirando,-7.4167,30.6,23.83,56,90,6.64,TZ,1693275539
361,el alto,-4.2714,-81.2147,20.81,84,3,7.57,PE,1693275540
362,yinchuan,38.4681,106.2731,24.45,33,0,2.22,CN,1693275542
